time,ax,ay,az,gx,gy,gz,
 5.90000000e+02, 1.00379996e-02, 9.97000025e-04, 9.93784010e-01, 1.97814906e+00, 6.12487972e-01, 4.80957001e-01,
  6.41000000e+02,-5.09899994e-03,-4.86199977e-03, 9.93784010e-01, 1.06262195e+00, 4.54925489e+00,-7.24487007e-01,
  6.91000000e+02, 1.73699996e-03,-6.32699998e-03, 1.01087403e+00,-7.07396984e-01, 3.40484595e+00,-6.32934988e-01,
  7.41000000e+02, 3.68999992e-03,-9.56000003e-04, 9.91831005e-01, 2.99683005e-01,-1.31011999e+00,-1.83837903e+00,
  7.91000000e+02, 1.49210002e-02, 9.97000025e-04, 1.01136196e+00,-1.47033703e+00,-1.11175501e+00, 2.97852010e-01,
  8.41000000e+02,-7.04000005e-04, 2.09999998e-05, 1.00062001e+00, 2.48168898e+00,-2.57263005e-01,-5.41382015e-01,
  8.91000000e+02, 7.60000024e-04, 1.48600002e-03, 9.97201979e-01, 1.73400903e+00,-5.46050978e+00,-1.94518995e+00,
  9.42000000e+02,-1.68099999e-03,-5.83899999e-03, 9.92807984e-01,-3.60109992e-02, 3.49639893e+00, 2.52563500e+00,
  9.92000000e+02, 2.22499995e-03,-4.86199977e-03, 9.85971987e-01,-1.54663098e+00, 1.66534400e+00,-6.83590025e-02,
  1.04200000e+03,-6.56400016e-03,-2.42100004e-03, 9.99643981e-01, 6.35375977e-01,-3.48816007e-01, 4.80957001e-01,
  1.09200000e+03, 5.15499990e-03, 6.36800006e-03, 9.92807984e-01, 9.86328006e-01, 6.27349901e+00, 2.43408203e+00,
  1.14200000e+03, 1.73699996e-03, 5.88000007e-03, 1.00306201e+00, 1.64245605e+00,-6.60491896e+00, 2.43408203e+00,
  1.19300000e+03, 4.66699991e-03,-1.93200004e-03, 1.00306201e+00, 1.23046899e+00,-1.79840100e+00,-6.87377882e+00,
  1.24400000e+03, 2.22499995e-03, 6.85699983e-03, 1.00159705e+00,-1.79077101e+00, 3.58795190e+00,-8.16039979e-01,
  1.29400000e+03,-5.09899994e-03,-4.37399978e-03, 1.00745595e+00, 8.79517019e-01,-3.61419702e+00, 5.60791016e+00,
  1.34400000e+03, 8.08500033e-03, 4.90400009e-03, 1.00062001e+00,-1.27563998e-01,-4.77386522e+00,-5.01220703e+00,
  1.39400000e+03, 2.22499995e-03, 5.88000007e-03, 9.99643981e-01,-1.62292504e+00, 4.35089111e+00, 5.51635695e+00,
  1.44400000e+03, 2.72000005e-04,-1.36510003e-02, 9.84018981e-01,-2.03857005e-01, 1.48223901e+00,-3.71520996e+00,
  1.49500000e+03, 2.22499995e-03,-7.30299996e-03, 9.89390016e-01,-2.47741699e+00, 7.82989502e+00,-1.83837903e+00,
  1.54500000e+03, 4.66699991e-03, 7.34499982e-03, 9.87924993e-01,-2.95410007e-01, 1.28387403e+00,-3.05908203e+00,
  1.59500000e+03,-7.04000005e-04, 1.97399990e-03, 1.00062001e+00, 8.79517019e-01,-5.24688721e+00, 3.83789110e+00,
  1.64500000e+03,-5.09899994e-03,-9.74499993e-03, 9.87437010e-01, 1.81030297e+00, 2.73345900e+00, 4.80957001e-01,
  1.69600000e+03,-5.58699993e-03, 4.90400009e-03, 9.95248973e-01,-1.54663098e+00, 2.53509498e+00, 4.58557081e+00,
  1.74600000e+03, 8.57300032e-03, 4.90400009e-03, 1.00013196e+00,-2.98095703e+00, 3.80157495e+00, 1.04553199e+00,
  1.79700000e+03, 4.66699991e-03, 9.97000025e-04, 9.95248973e-01, 2.23389000e-01,-1.70684803e+00,-8.36914062e+00,
  1.84700000e+03,-7.04000005e-04,-2.90900003e-03, 9.93784010e-01,-4.63257015e-01, 5.20934999e-01,-1.65527296e+00,
  1.89700000e+03,-6.56400016e-03,-1.44400005e-03, 1.00696802e+00, 2.32910204e+00,-3.75152612e+00, 2.43408203e+00,
  1.94700000e+03, 1.73699996e-03,-1.93200004e-03, 1.00940895e+00,-2.96569800e+00,-1.34063697e+00, 2.34252906e+00,
  1.99700000e+03, 8.57300032e-03, 7.34499982e-03, 9.91343021e-01,-1.79077101e+00,-3.82782006e+00, 2.31929999e-02,
  2.04800000e+03,-2.65699998e-03, 8.80999956e-03, 1.00159705e+00,-1.54663098e+00,-1.69158900e+00, 3.27331495e+00,
  2.09800000e+03, 7.10800011e-03,-6.32699998e-03, 9.98667002e-01, 1.55090296e+00,-9.29046726e+00, 5.72510004e-01,
  2.14900000e+03,-6.07499992e-03, 5.08999976e-04, 1.00062001e+00, 1.55090296e+00, 3.26539986e-02,-5.66833496e+00,
  2.19900000e+03, 7.10800011e-03,-5.83899999e-03, 9.98179018e-01, 1.38305700e+00, 1.39068604e+00, 7.55614996e-01,
  2.24900000e+03, 4.66699991e-03,-2.90900003e-03, 9.92807984e-01, 1.06262195e+00, 1.26861596e+00, 5.88256788e+00,
  2.29900000e+03,-9.98200011e-03, 5.08999976e-04, 1.00940895e+00, 2.22229004e+00, 4.86968994e+00,-2.49450707e+00,
  2.35000000e+03, 2.72000005e-04, 6.36800006e-03, 1.01087403e+00,-2.95410007e-01,-1.98150599e+00,-1.65527296e+00,
  2.40000000e+03, 8.57300032e-03, 5.08999976e-04, 9.94271994e-01, 1.55090296e+00,-1.50848401e+00, 1.50329602e+00,
  2.45000000e+03,-1.68099999e-03,-4.37399978e-03, 1.00940895e+00, 1.81030297e+00,-1.40167201e+00, 3.92944288e+00,
  2.50000000e+03, 4.66699991e-03, 6.36800006e-03, 9.96226013e-01, 2.06970191e+00,-2.19512892e+00,-3.33374000e+00,
  2.55000000e+03, 3.20199993e-03,-9.25699994e-03, 1.00159705e+00,-1.86706495e+00, 3.38958693e+00, 2.43408203e+00,
  2.60000000e+03, 5.64299989e-03,-4.86199977e-03, 9.97201979e-01, 2.08130002e-01, 1.77215600e+00,-7.24487007e-01,
  2.65200000e+03, 3.20199993e-03,-9.56000003e-04, 9.96226013e-01, 1.55090296e+00,-2.85125709e+00,-3.58276010e-01,
  2.70200000e+03, 3.68999992e-03,-3.88600002e-03, 1.00208497e+00,-1.04309106e+00,-4.40369010e-01, 1.79321301e+00,
  2.75200000e+03,-1.68099999e-03,-2.90900003e-03, 1.01038599e+00, 2.31384301e+00,-4.28558302e+00, 1.22863805e+00,
  2.80200000e+03, 1.73699996e-03,-9.56000003e-04, 9.97201979e-01, 2.08130002e-01, 5.36194026e-01, 1.59484899e+00,
  2.85200000e+03,-5.09899994e-03,-8.27999972e-03, 9.95248973e-01, 2.49694800e+00,-6.22345018e+00,-5.01220703e+00,
  2.90300000e+03, 2.72000005e-04,-8.27999972e-03, 9.98667002e-01,-1.95861804e+00,-7.41579980e-02,-2.03674293e+00,
